127.0.0.1 - - [09/Feb/2020:20:12:50 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:13:35 +0800] "GET /index HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:13:36 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:13:43 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:14:00 +0800] "GET /login/login HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:14:28 +0800] "GET /wcExportAndImport/login/login HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:14:34 +0800] "GET /wcExportAndImport/login HTTP/1.1" 405 1114
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:14:40 +0800] "GET /wcExportAndImport/login HTTP/1.1" 405 1114
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/page/login HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/login/css/login1.css HTTP/1.1" 200 6758
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/login/js/jquery.cookie.js HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/login/css/headerfooterindex.css HTTP/1.1" 200 3264
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/login/css/login.css HTTP/1.1" 200 5666
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/login/js/jquery.alerts.js HTTP/1.1" 200 9089
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/login/js/png.js HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/login/css/jquery.alerts.css HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/login/js/cas.login.js HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/login/js/capsLock.js HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/login/js/jquery-1.5.1.min.js HTTP/1.1" 200 85275
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/img/login/del.png HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/img/login/user.png HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/img/login/password.png HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:21 +0800] "GET /wcExportAndImport/statics/img/login/loginleft1.png HTTP/1.1" 200 478940
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:34 +0800] "POST /wcExportAndImport/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:34 +0800] "GET /wcExportAndImport/page/login HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:48 +0800] "POST /wcExportAndImport/login HTTP/1.1" 200 4420
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:48 +0800] "GET /wcExportAndImport/statics/layui/layui.js HTTP/1.1" 200 6667
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:48 +0800] "GET /wcExportAndImport/statics/js/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:48 +0800] "GET /wcExportAndImport/statics/layui/css/layui.css HTTP/1.1" 200 69640
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:48 +0800] "GET /wcExportAndImport/statics/html/datapushhead.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:48 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/element.js HTTP/1.1" 200 7471
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:50 +0800] "GET /wcExportAndImport/user/jump HTTP/1.1" 200 6120
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:50 +0800] "GET /wcExportAndImport/statics/css/user/user.css HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:50 +0800] "GET /wcExportAndImport/statics/js/common/common.js HTTP/1.1" 200 14861
0:0:0:0:0:0:0:1 - - [09/Feb/2020:20:15:50 +0800] "GET /wcExportAndImport/statics/layui/lay/modules/laydate.js HTTP/1.1" 200 27337
